 В  Поморье  Росгвардия  изъяла  оружие  у  недобросовестных  владельцев ;https://www.news29.ru/novosti/obschestvo/V_Pomore_Rosgvardija_izjala_oruzhie_u_nedobrosovestnyh_vladelcev/98923; 29.11.22  17:00 ;246;Общество
 В  Вельском  районе  задержали  трёх  лесорубов  за  незаконно  срубленные  сосны ;https://www.news29.ru/novosti/obschestvo/V_Velskom_rajone_zaderzhali_trjoh_lesorubov_za_nezakonno_srublennye_sosny/98924; 29.11.22  17:00 ;193;Общество
 Инструктор  и  ученик  автошколы  в  Северодвинске  вместе  попали  под  «уголовку» ;https://www.news29.ru/novosti/obschestvo/Instruktor_i_uchenik_avtoshkoly_v_Severodvinske_vmeste_popali_pod_ugolovku_/98922; 29.11.22  16:41 ;745;Общество
 Офицеры  Росгвардии  приняли  участие  в  работе  дискуссионной  площадки ;https://www.news29.ru/novosti/obschestvo/Oficery_Rosgvardii_prinjali_uchastie_v_rabote_diskussionnoj_ploschadki/98921; 29.11.22  16:32 ;151;Общество
 В  Архангельске  налетчик  с  молотком  ограбил  кулинарию  на  10  тысяч  рублей ;https://www.news29.ru/novosti/proishestvija/V_Arhangelske_naletchik_s_molotkom_ograbil_kulinariju_na_10_tysjach_rublej/98920; 29.11.22  15:48 ;666;Происшествия
 Каменный  Ленин  вернулся  на  набережную  Северной  Двины  в  Архангельске ;https://www.news29.ru/novosti/obschestvo/Kamennyj_Lenin_vernulsja_na_naberezhnuju_Severnoj_Dviny_v_Arhangelske/98917; 29.11.22  14:54 ;912;Общество
 Два  десятка  домов  без  воды  и  масштабные  раскопки:  в  Архангельске  авария  на  водоводе ;https://www.news29.ru/novosti/obschestvo/Dva_desjatka_domov_bez_vody_i_masshtabnye_raskopki_v_Arhangelske_avarija_na_vodovode/98919; 29.11.22  14:52 ;495;Общество
 В  Архангельске  аллею  покорителей  Арктики  дополнят  бюстами  Русанова  и  Пахтусова ;https://www.news29.ru/novosti/kultura/V_Arhangelske_Alleju_pokoritelej_Arktiki_dopolnjat_bjustami_Rusanova_i_Pahtusova/98916; 29.11.22  14:07 ;228;Культура
 Экс-глава  Североонежска  получил  штраф  по  делу  о  превышении  полномочий ;https://www.news29.ru/novosti/obschestvo/Eks_glava_Severoonezhska_poluchil_shtraf_po_delu_o_prevyshenii_polnomochij/98914; 29.11.22  13:10 ;298;Общество
 В  день  старта  «Спортивной  зимы»  в  Архангельске  пройдут  бесплатные  массовые  катания ;https://www.news29.ru/novosti/obschestvo/V_den_starta_Sportivnoj_zimy_v_Arhangelske_projdut_besplatnye_massovye_katanija/98915; 29.11.22  13:00 ;297;Общество
 Архангельские  стрелки  завоевали  4  серебра  на  всероссийском  турнире ;https://www.news29.ru/novosti/sport/Arhangelskie_strelki_zavoevali_4_serebra_na_vserossijskom_turnire/98913; 29.11.22  12:55 ;186;Спорт
 Tele2  в  канун  праздников  составила  гид  для  путешествий  по  Северо-Западу ;https://www.news29.ru/novosti/kultura/Tele2_v_kanun_prazdnikov_sostavila_gid_dlja_puteshestvij_po_Severo_Zapadu/98910; 29.11.22  12:51 ;159;Культура
 В  Архангельске  возобновилось  движение  автобусов  по  улице  Папанина ;https://www.news29.ru/novosti/obschestvo/V_Arhangelske_vozobnovilos_dvizhenie_avtobusov_po_ulice_Papanina/98912; 29.11.22  12:42 ;550;Общество
 Алексей  Кудрин  уходит  с  поста  главы  Счетной  палаты  «для  развития  частных  инициатив» ;https://www.news29.ru/novosti/obschestvo/Aleksej_Kudrin_uhodit_s_posta_glavy_Schetnoj_palaty_dlja_razvitija_chastnyh_iniciativ_/98911; 29.11.22  12:00 ;348;Общество
 В  Верхнетоемском  районе  заработала  первая  станция  сотовой  связи  по  проекту  УЦН  2.0 ;https://www.news29.ru/novosti/obschestvo/V_Verhnetoemskom_rajone_zarabotala_pervaja_stancija_sotovoj_svjazi_po_proektu_UCN_2_0/98902; 29.11.22  11:00 ;217;Общество
 В  Архангельске  утром  загорелось  кафе  «Крым» ;https://www.news29.ru/novosti/proishestvija/V_Arhangelske_utrom_zagorelos_kafe_Krym_/98909; 29.11.22  10:59 ;1332;Происшествия
